id,left,top,right,bottom
"21457",6056184.49651975,3741582.96101881,6056415.43662743,3741382.96101881
"21456",6056184.49651975,3741782.96101881,6056415.43662743,3741582.96101881
"21459",6056184.49651975,3741182.96101881,6056415.43662743,3740982.96101881
"21458",6056184.49651975,3741382.96101881,6056415.43662743,3741182.96101881
"21461",6056184.49651975,3740782.96101881,6056415.43662743,3740582.96101881
"21460",6056184.49651975,3740982.96101881,6056415.43662743,3740782.96101881
"21463",6056184.49651975,3740382.96101881,6056415.43662743,3740182.96101881
"21462",6056184.49651975,3740582.96101881,6056415.43662743,3740382.96101881
"21465",6056184.49651975,3739982.96101881,6056415.43662743,3739782.96101881
"21464",6056184.49651975,3740182.96101881,6056415.43662743,3739982.96101881
"21467",6056184.49651975,3739582.96101881,6056415.43662743,3739382.96101881
"21466",6056184.49651975,3739782.96101881,6056415.43662743,3739582.96101881
"21469",6056184.49651975,3739182.96101881,6056415.43662743,3738982.96101881
"21468",6056184.49651975,3739382.96101881,6056415.43662743,3739182.96101881
"21471",6056184.49651975,3738782.96101881,6056415.43662743,3738582.96101881
"21470",6056184.49651975,3738982.96101881,6056415.43662743,3738782.96101881
"21473",6056184.49651975,3738382.96101881,6056415.43662743,3738182.96101881
"21472",6056184.49651975,3738582.96101881,6056415.43662743,3738382.96101881
"21475",6056184.49651975,3737982.96101881,6056415.43662743,3737782.96101881
"21474",6056184.49651975,3738182.96101881,6056415.43662743,3737982.96101881
"21477",6056184.49651975,3737582.96101881,6056415.43662743,3737382.96101881
"21476",6056184.49651975,3737782.96101881,6056415.43662743,3737582.96101881
"21479",6056184.49651975,3737182.96101881,6056415.43662743,3736982.96101881
"21478",6056184.49651975,3737382.96101881,6056415.43662743,3737182.96101881
"21481",6056184.49651975,3736782.96101881,6056415.43662743,3736582.96101881
"21480",6056184.49651975,3736982.96101881,6056415.43662743,3736782.96101881
"21483",6056184.49651975,3736382.96101881,6056415.43662743,3736182.96101881
"21482",6056184.49651975,3736582.96101881,6056415.43662743,3736382.96101881
"21485",6056184.49651975,3735982.96101881,6056415.43662743,3735782.96101881
"21484",6056184.49651975,3736182.96101881,6056415.43662743,3735982.96101881
"21487",6056184.49651975,3735582.96101881,6056415.43662743,3735382.96101881
"21486",6056184.49651975,3735782.96101881,6056415.43662743,3735582.96101881
"21489",6056184.49651975,3735182.96101881,6056415.43662743,3734982.96101881
"21488",6056184.49651975,3735382.96101881,6056415.43662743,3735182.96101881
"21491",6056184.49651975,3734782.96101881,6056415.43662743,3734582.96101881
"21490",6056184.49651975,3734982.96101881,6056415.43662743,3734782.96101881
"21493",6056184.49651975,3734382.96101881,6056415.43662743,3734182.96101881
"21492",6056184.49651975,3734582.96101881,6056415.43662743,3734382.96101881
"21495",6056184.49651975,3733982.96101881,6056415.43662743,3733782.96101881
"21494",6056184.49651975,3734182.96101881,6056415.43662743,3733982.96101881
"21497",6056184.49651975,3733582.96101881,6056415.43662743,3733382.96101881
"21496",6056184.49651975,3733782.96101881,6056415.43662743,3733582.96101881
"21499",6056184.49651975,3733182.96101881,6056415.43662743,3732982.96101881
"21498",6056184.49651975,3733382.96101881,6056415.43662743,3733182.96101881
"21501",6056184.49651975,3732782.96101881,6056415.43662743,3732582.96101881
"21500",6056184.49651975,3732982.96101881,6056415.43662743,3732782.96101881
"20993",6055664.88127748,3740882.96101881,6055895.82138516,3740682.96101881
"20992",6055664.88127748,3741082.96101881,6055895.82138516,3740882.96101881
"20995",6055664.88127748,3740482.96101881,6055895.82138516,3740282.96101881
"20994",6055664.88127748,3740682.96101881,6055895.82138516,3740482.96101881
"20997",6055664.88127748,3740082.96101881,6055895.82138516,3739882.96101881
"20996",6055664.88127748,3740282.96101881,6055895.82138516,3740082.96101881
"20999",6055664.88127748,3739682.96101881,6055895.82138516,3739482.96101881
"20998",6055664.88127748,3739882.96101881,6055895.82138516,3739682.96101881
"21001",6055664.88127748,3739282.96101881,6055895.82138516,3739082.96101881
"21000",6055664.88127748,3739482.96101881,6055895.82138516,3739282.96101881
