name,lon,lat,code,fclass,osm_id
دانشگاه فرهنگیان - پردیس شهیدان پاکنژاد,54.35176839551368,31.86699092834438,2081,university,429381839
,54.36003584843797,31.85999039878948,2204,park,1359901709
,54.365145630448225,31.883423688509957,2204,park,1359901709
پارک گلستان,54.39997033145265,31.81363521934802,2204,park,437859741
پارک لاله,54.397130477131405,31.814044995624506,2204,park,437859742
پارک جوان,54.397292435474704,31.811675310421407,2204,park,437859743
,54.39747949490328,31.8112114007122,2204,park,1359901709
پارک مهسا,54.39858073333334,31.81220693333333,2204,park,437859745
مدرسه استثنایی نشاط یزد,54.39463343557637,31.8128511720291,2082,school,439702159
مدرسه خواجه رضایی,54.396776559420914,31.812977080678795,2082,school,439702160
ورزشگاه شهدای رحمت اباد,54.38929468024995,31.815487894319613,2256,stadium,439856680
,54.390463799581234,31.81557123868964,2204,park,1359901709
,54.391232749932634,31.816550697847646,2204,park,1359901709
مدرسه یاسین,54.39111440983281,31.81697662820403,2082,school,439856695
,54.3897025,31.815920749999997,2204,park,1359901709
,54.391705501830565,31.813230032223974,2204,park,1359901709
دبیرستان خاتم,54.39621835409712,31.8146900063457,2082,school,441709976
مدرسه هاشمی,54.395436548283314,31.814633243557843,2082,school,441709977
پارک قلعه,54.40518175726808,31.821227405881853,2204,park,441709978
پارک فدک,54.39532603848939,31.817276653742994,2204,park,441710138
تعمیرگاه سایپا امیر کبیر,54.363483771359725,31.852093105038392,2541,car_dealership,442410418
ورزشگاه معلم,54.382190990527036,31.920324788264644,2256,stadium,466747320
دانشکده دندان پزشکی یزد,54.38521536895113,31.91361065838781,2084,college,466747327
حسینیه فهادان,54.37034401707291,31.904834332496623,2723,monument,473835207
میدان میوه تره بار یزد,54.366374154629234,31.792574766800108,2016,market_place,477425336
دبیرستان دخترانه امام حسین,54.35345123287695,31.872457213715872,2082,school,477687337
کتابخانه مرکزی,54.3712603787132,31.88525614895054,2007,library,518530988
,54.363225881493534,31.890190429096467,2204,park,1359901709
سینما دانش آموز,54.36390528231218,31.88903119423234,2203,cinema,518565359
مرکز پزشکی هراتی درمانگاه تامین اجتماعی,54.36333705652007,31.887146279124188,2110,hospital,518565364
هتل جهانگردی یزد,54.354867069893814,31.866490707042153,2401,hotel,532054131
هتل سنتی فاضلی,54.37053415051638,31.901840329503965,2401,hotel,532068474
هتل سرای کهن,54.37282475740704,31.90161996784082,2401,hotel,532068475
,54.370129394966845,31.905227726093006,2204,park,1359901709
هتل جاده ابریشم,54.370403499999995,31.900782349999997,2401,hotel,533457949
بوستان طوبی - پارک بانوان,54.385990215372125,31.85455628745802,2204,park,537501950
,54.369456215153164,31.903620619928358,2204,park,1359901709
خانه ابراهیمی,54.363299223621325,31.894617567149464,2301,restaurant,554536892
,54.328791185669,31.858543729492556,2204,park,1359901709
,54.35363455880025,31.819946809451313,2204,park,1359901709
رستوران یاس یزد,54.385090079034626,31.846454843042583,2301,restaurant,595863719
مدرسه,54.38246577552294,31.847885272619664,2082,school,595865086
ایران خودرو,54.38457335389819,31.852084129819236,2541,car_dealership,595870328
بوستان ناجی,54.39168578016102,31.832062600574936,2721,attraction,596908120
بوستان ناجی,54.39168578016102,31.832062600574936,2721,attraction,596908120
بوستان باغ ملی,54.3544963880675,31.887407160750907,2204,park,596930430
اداره آگاهی یزد,54.354380202525775,31.886095123491387,2001,police,596930433
اداره اماکن,54.354094914957535,31.88573728644656,2001,police,596930434
موزه دفاع مقدس,54.3822051468608,31.838669363225126,2722,museum,596930444
مجتمع تجاری صدف,54.37773962519172,31.836708940501932,2504,mall,596930445
دخمه زرتشتیان,54.356527436990625,31.823520037538522,2721,attraction,596935937
زندان مرکزی یزد,54.38644068719491,31.91903463650476,2010,prison,596935938
هتل موزه فهادان,54.37021189138834,31.90568029792533,2401,hotel,5705855
کتابخانه مرکزی دانشگاه یزد,54.35866963802004,31.833383096029618,2007,library,621696882
ساختمان مهتاب دانشگاه یزد,54.35520893499772,31.833814424182748,2301,restaurant,621940554
زمین چمن دانشگاه یزد,54.35042771665879,31.833605376874672,2252,pitch,623053390
سلف غدیر دانشگاه یزد,54.34832905,31.83493355,2301,restaurant,623053391
,54.3545343,31.83646215,2204,park,1359901709
باجه بانک دانشگاه یزد,54.35563146693403,31.834379254185414,2601,bank,623053401
,54.36399327561471,31.84735370204732,2204,park,1359901709
سالن ورزشی دانشگاه یزد,54.364933953578955,31.848375305983776,2251,sports_centre,623135450
دانشگاه یزد,54.364237988546975,31.846032691881433,2081,university,623135475
,54.372626760608526,31.80889527873531,2204,park,1359901709
